algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,cuda_mode,cuda_block_size,cuda_candidates_per_iter,cuda_reversal_mode,cuda_candidate_policy,log_file
sa-cuda-candidate,lin318,318,300000,3,nn,64,128,cuda,42354,42354,902.135,3480567,1693742,candidate,128,128,parallel,best,results\logs\cuda_candidate\lin318_sa_candidate_parallel_best_b128_c128_20260622_221027_474463.log
sa-cuda-candidate-random,lin318,318,300000,1,nn,64,128,cuda,45650,45650,602.417,554324,290972,candidate,128,128,parallel,random,results\logs\cuda_candidate\lin318_sa_candidate_parallel_random_b128_c128_20260622_221030_285722.log
sa-cuda-candidate-random,lin318,318,300000,2,nn,64,128,cuda,45185,45185,596.120,554316,291438,candidate,128,128,parallel,random,results\logs\cuda_candidate\lin318_sa_candidate_parallel_random_b128_c128_20260622_221030_285722.log
sa-cuda-candidate-random,lin318,318,300000,3,nn,64,128,cuda,45111,45111,603.009,556078,292491,candidate,128,128,parallel,random,results\logs\cuda_candidate\lin318_sa_candidate_parallel_random_b128_c128_20260622_221030_285722.log
qlsa-cuda-chain,lin318,318,300000,1,nn,64,128,cuda,45509,45509,610.427,609332,302848,chain,128,128,serial,,results\logs\cuda_candidate\lin318_qlsa_chain_serial_best_b128_c128_20260622_221032_208398.log
qlsa-cuda-chain,lin318,318,300000,2,nn,64,128,cuda,44818,44818,612.895,604803,302960,chain,128,128,serial,,results\logs\cuda_candidate\lin318_qlsa_chain_serial_best_b128_c128_20260622_221032_208398.log
qlsa-cuda-chain,lin318,318,300000,3,nn,64,128,cuda,45269,45269,626.388,607273,302592,chain,128,128,serial,,results\logs\cuda_candidate\lin318_qlsa_chain_serial_best_b128_c128_20260622_221032_208398.log
qlsa-cuda-candidate,lin318,318,300000,1,nn,64,128,cuda,42322,42322,1726.962,8618440,1391171,candidate,128,128,serial,best,results\logs\cuda_candidate\lin318_qlsa_candidate_serial_best_b128_c128_20260622_221034_176347.log
qlsa-cuda-candidate,lin318,318,300000,2,nn,64,128,cuda,42383,42383,1703.617,8674248,1380466,candidate,128,128,serial,best,results\logs\cuda_candidate\lin318_qlsa_candidate_serial_best_b128_c128_20260622_221034_176347.log
qlsa-cuda-candidate,lin318,318,300000,3,nn,64,128,cuda,42208,42208,1707.624,8836183,1389837,candidate,128,128,serial,best,results\logs\cuda_candidate\lin318_qlsa_candidate_serial_best_b128_c128_20260622_221034_176347.log
qlsa-cuda-candidate-random,lin318,318,300000,1,nn,64,128,cuda,44900,44900,915.095,610668,304223,candidate,128,128,serial,random,results\logs\cuda_candidate\lin318_qlsa_candidate_serial_random_b128_c128_20260622_221039_428481.log
qlsa-cuda-candidate-random,lin318,318,300000,2,nn,64,128,cuda,45106,45106,910.578,604839,302629,candidate,128,128,serial,random,results\logs\cuda_candidate\lin318_qlsa_candidate_serial_random_b128_c128_20260622_221039_428481.log
qlsa-cuda-candidate-random,lin318,318,300000,3,nn,64,128,cuda,45680,45680,918.439,603344,301999,candidate,128,128,serial,random,results\logs\cuda_candidate\lin318_qlsa_candidate_serial_random_b128_c128_20260622_221039_428481.log
qlsa-cuda-candidate,lin318,318,300000,1,nn,64,128,cuda,42322,42322,1237.887,8618440,1391171,candidate,128,128,parallel,best,results\logs\cuda_candidate\lin318_qlsa_candidate_parallel_best_b128_c128_20260622_221042_282816.log
qlsa-cuda-candidate,lin318,318,300000,2,nn,64,128,cuda,42383,42383,1218.579,8674248,1380466,candidate,128,128,parallel,best,results\logs\cuda_candidate\lin318_qlsa_candidate_parallel_best_b128_c128_20260622_221042_282816.log
qlsa-cuda-candidate,lin318,318,300000,3,nn,64,128,cuda,42208,42208,1201.947,8836183,1389837,candidate,128,128,parallel,best,results\logs\cuda_candidate\lin318_qlsa_candidate_parallel_best_b128_c128_20260622_221042_282816.log
qlsa-cuda-candidate-random,lin318,318,300000,1,nn,64,128,cuda,44900,44900,899.181,610668,304223,candidate,128,128,parallel,random,results\logs\cuda_candidate\lin318_qlsa_candidate_parallel_random_b128_c128_20260622_221046_049181.log
qlsa-cuda-candidate-random,lin318,318,300000,2,nn,64,128,cuda,45106,45106,902.371,604839,302629,candidate,128,128,parallel,random,results\logs\cuda_candidate\lin318_qlsa_candidate_parallel_random_b128_c128_20260622_221046_049181.log
qlsa-cuda-candidate-random,lin318,318,300000,3,nn,64,128,cuda,45680,45680,904.105,603344,301999,candidate,128,128,parallel,random,results\logs\cuda_candidate\lin318_qlsa_candidate_parallel_random_b128_c128_20260622_221046_049181.log
sa-cuda-chain,rat575,575,300000,1,nn,64,128,cuda,8605,9059,421.036,3042495,1540522,chain,128,128,serial,,results\logs\cuda_candidate\rat575_sa_chain_serial_best_b128_c128_20260622_221048_871846.log
sa-cuda-chain,rat575,575,300000,2,nn,64,128,cuda,8605,9190,419.120,3044332,1542044,chain,128,128,serial,,results\logs\cuda_candidate\rat575_sa_chain_serial_best_b128_c128_20260622_221048_871846.log
sa-cuda-chain,rat575,575,300000,3,nn,64,128,cuda,8576,9218,422.882,3041275,1542524,chain,128,128,serial,,results\logs\cuda_candidate\rat575_sa_chain_serial_best_b128_c128_20260622_221048_871846.log
sa-cuda-candidate,rat575,575,300000,1,nn,64,128,cuda,6977,6977,980.542,6133388,2886926,candidate,128,128,serial,best,results\logs\cuda_candidate\rat575_sa_candidate_serial_best_b128_c128_20260622_221050_280942.log
sa-cuda-candidate,rat575,575,300000,2,nn,64,128,cuda,6992,6992,988.592,6130687,2886565,candidate,128,128,serial,best,results\logs\cuda_candidate\rat575_sa_candidate_serial_best_b128_c128_20260622_221050_280942.log
sa-cuda-candidate,rat575,575,300000,3,nn,64,128,cuda,6999,6999,983.439,6131805,2884997,candidate,128,128,serial,best,results\logs\cuda_candidate\rat575_sa_candidate_serial_best_b128_c128_20260622_221050_280942.log
sa-cuda-candidate-random,rat575,575,300000,1,nn,64,128,cuda,8605,9210,702.230,3043615,1542072,candidate,128,128,serial,random,results\logs\cuda_candidate\rat575_sa_candidate_serial_random_b128_c128_20260622_221053_337326.log
sa-cuda-candidate-random,rat575,575,300000,2,nn,64,128,cuda,8605,9041,700.446,3040042,1540399,candidate,128,128,serial,random,results\logs\cuda_candidate\rat575_sa_candidate_serial_random_b128_c128_20260622_221053_337326.log
sa-cuda-candidate-random,rat575,575,300000,3,nn,64,128,cuda,8605,9288,704.220,3045679,1544786,candidate,128,128,serial,random,results\logs\cuda_candidate\rat575_sa_candidate_serial_random_b128_c128_20260622_221053_337326.log
sa-cuda-candidate,rat575,575,300000,1,nn,64,128,cuda,6977,6977,886.554,6133388,2886926,candidate,128,128,parallel,best,results\logs\cuda_candidate\rat575_sa_candidate_parallel_best_b128_c128_20260622_221055_557501.log
sa-cuda-candidate,rat575,575,300000,2,nn,64,128,cuda,6992,6992,881.063,6130687,2886565,candidate,128,128,parallel,best,results\logs\cuda_candidate\rat575_sa_candidate_parallel_best_b128_c128_20260622_221055_557501.log
sa-cuda-candidate,rat575,575,300000,3,nn,64,128,cuda,6999,6999,880.267,6131805,2884997,candidate,128,128,parallel,best,results\logs\cuda_candidate\rat575_sa_candidate_parallel_best_b128_c128_20260622_221055_557501.log
sa-cuda-candidate-random,rat575,575,300000,1,nn,64,128,cuda,8605,9210,587.828,3043615,1542072,candidate,128,128,parallel,random,results\logs\cuda_candidate\rat575_sa_candidate_parallel_random_b128_c128_20260622_221058_313570.log
sa-cuda-candidate-random,rat575,575,300000,2,nn,64,128,cuda,8605,9041,586.352,3040042,1540399,candidate,128,128,parallel,random,results\logs\cuda_candidate\rat575_sa_candidate_parallel_random_b128_c128_20260622_221058_313570.log
sa-cuda-candidate-random,rat575,575,300000,3,nn,64,128,cuda,8605,9288,586.774,3045679,1544786,candidate,128,128,parallel,random,results\logs\cuda_candidate\rat575_sa_candidate_parallel_random_b128_c128_20260622_221058_313570.log
qlsa-cuda-chain,rat575,575,300000,1,nn,64,128,cuda,8103,8103,733.645,3074084,1549145,chain,128,128,serial,,results\logs\cuda_candidate\rat575_qlsa_chain_serial_best_b128_c128_20260622_221100_191622.log
qlsa-cuda-chain,rat575,575,300000,2,nn,64,128,cuda,8193,8193,728.488,3073149,1548859,chain,128,128,serial,,results\logs\cuda_candidate\rat575_qlsa_chain_serial_best_b128_c128_20260622_221100_191622.log
qlsa-cuda-chain,rat575,575,300000,3,nn,64,128,cuda,8135,8135,727.604,3074419,1551561,chain,128,128,serial,,results\logs\cuda_candidate\rat575_qlsa_chain_serial_best_b128_c128_20260622_221100_191622.log
qlsa-cuda-candidate,rat575,575,300000,1,nn,64,128,cuda,6999,6999,2010.349,9720235,2684211,candidate,128,128,serial,best,results\logs\cuda_candidate\rat575_qlsa_candidate_serial_best_b128_c128_20260622_221102_497874.log
qlsa-cuda-candidate,rat575,575,300000,2,nn,64,128,cuda,7014,7014,2057.833,9757109,2683928,candidate,128,128,serial,best,results\logs\cuda_candidate\rat575_qlsa_candidate_serial_best_b128_c128_20260622_221102_497874.log
qlsa-cuda-candidate,rat575,575,300000,3,nn,64,128,cuda,6951,6951,2043.430,9797485,2686029,candidate,128,128,serial,best,results\logs\cuda_candidate\rat575_qlsa_candidate_serial_best_b128_c128_20260622_221102_497874.log
qlsa-cuda-candidate-random,rat575,575,300000,1,nn,64,128,cuda,8242,8242,1129.270,3074161,1550687,candidate,128,128,serial,random,results\logs\cuda_candidate\rat575_qlsa_candidate_serial_random_b128_c128_20260622_221108_729017.log
qlsa-cuda-candidate-random,rat575,575,300000,2,nn,64,128,cuda,8241,8241,1126.951,3072828,1549661,candidate,128,128,serial,random,results\logs\cuda_candidate\rat575_qlsa_candidate_serial_random_b128_c128_20260622_221108_729017.log
qlsa-cuda-candidate-random,rat575,575,300000,3,nn,64,128,cuda,8197,8197,1121.045,3076441,1551544,candidate,128,128,serial,random,results\logs\cuda_candidate\rat575_qlsa_candidate_serial_random_b128_c128_20260622_221108_729017.log
