algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
qlsa-omp,pcb442,442,1000000,3,nn,64,8,omp,54781,54781,667.048,1978285,957797,L2,ok,results\logs\large_openmp\pcb442_qlsa_20260622_203245_976366.log,
sa-omp,pr226,226,1000000,1,nn,64,8,omp,80751,80751,368.772,402250,167444,L1,ok,results\logs\large_openmp\pr226_sa_20260622_203248_438663.log,
sa-omp,pr226,226,1000000,2,nn,64,8,omp,80989,80989,378.918,404765,167381,L1,ok,results\logs\large_openmp\pr226_sa_20260622_203248_438663.log,
sa-omp,pr226,226,1000000,3,nn,64,8,omp,80745,80745,347.686,405081,168397,L1,ok,results\logs\large_openmp\pr226_sa_20260622_203248_438663.log,
qlsa-omp,pr226,226,1000000,1,nn,64,8,omp,81040,81040,912.413,760716,301638,L1,ok,results\logs\large_openmp\pr226_qlsa_20260622_203249_675870.log,
qlsa-omp,pr226,226,1000000,2,nn,64,8,omp,80878,80878,692.811,762176,302148,L1,ok,results\logs\large_openmp\pr226_qlsa_20260622_203249_675870.log,
qlsa-omp,pr226,226,1000000,3,nn,64,8,omp,80749,80749,654.489,756851,301641,L1,ok,results\logs\large_openmp\pr226_qlsa_20260622_203249_675870.log,
sa-omp,pr76,76,1000000,1,nn,64,8,omp,108202,108202,345.652,209387,83150,custom,ok,results\logs\large_openmp\pr76_sa_20260622_203252_046007.log,
sa-omp,pr76,76,1000000,2,nn,64,8,omp,108159,108159,356.372,208349,82679,custom,ok,results\logs\large_openmp\pr76_sa_20260622_203252_046007.log,
sa-omp,pr76,76,1000000,3,nn,64,8,omp,108469,108469,343.990,209415,83069,custom,ok,results\logs\large_openmp\pr76_sa_20260622_203252_046007.log,
qlsa-omp,pr76,76,1000000,1,nn,64,8,omp,108304,108304,881.747,468640,135997,custom,ok,results\logs\large_openmp\pr76_qlsa_20260622_203253_186404.log,
qlsa-omp,pr76,76,1000000,2,nn,64,8,omp,108202,108202,661.549,461842,135713,custom,ok,results\logs\large_openmp\pr76_qlsa_20260622_203253_186404.log,
qlsa-omp,pr76,76,1000000,3,nn,64,8,omp,108274,108274,605.812,470717,135988,custom,ok,results\logs\large_openmp\pr76_qlsa_20260622_203253_186404.log,
sa-omp,rat575,575,1000000,1,nn,64,8,omp,7553,7553,385.995,9812510,4887239,L2,ok,results\logs\large_openmp\rat575_sa_20260622_203255_419023.log,
sa-omp,rat575,575,1000000,2,nn,64,8,omp,7624,7624,404.825,9810990,4885754,L2,ok,results\logs\large_openmp\rat575_sa_20260622_203255_419023.log,
sa-omp,rat575,575,1000000,3,nn,64,8,omp,7531,7531,400.197,9812042,4887563,L2,ok,results\logs\large_openmp\rat575_sa_20260622_203255_419023.log,
qlsa-omp,rat575,575,1000000,1,nn,64,8,omp,7442,7442,966.404,9915892,4909884,L2,ok,results\logs\large_openmp\rat575_qlsa_20260622_203256_693493.log,
