algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,t0,tf,alpha,gamma,epsilon,policy,tuning_stage,fallback
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1219,1219,364.798,13381994,6540746,1000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1214,1214,361.171,11475248,5608178,1000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1226,1226,355.422,11472486,5604922,1000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1216,1216,361.135,11479418,5608665,1000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1227,1227,364.473,10051400,4908944,1000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1225,1226,358.066,10045808,4906960,1000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1217,1217,363.438,10050809,4910079,1000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1219,1223,370.008,17028109,8327460,3000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1213,1213,362.717,17033244,8334267,3000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1214,1214,382.997,17025687,8329364,3000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1218,1218,374.894,14756180,7215315,3000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1217,1217,368.494,14758934,7218556,3000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1217,1217,357.994,14758329,7216451,3000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,2000000,1,nn,32,8,omp,1215,1215,374.926,13023147,6365746,3000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,2,nn,32,8,omp,1218,1218,371.673,13021661,6365641,3000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,2000000,3,nn,32,8,omp,1220,1220,371.273,13021133,6365785,3000,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,641,641,182.853,4516737,2150200,100,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,629,630,180.360,4515073,2150219,100,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,636,636,177.238,4509953,2149442,100,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,639,639,172.548,3768649,1792364,100,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,640,640,174.767,3764561,1789525,100,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,642,642,177.451,3767128,1792032,100,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,639,639,174.839,3235830,1537635,100,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,640,640,178.020,3233481,1535181,100,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,634,634,181.582,3229503,1535495,100,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,640,640,229.730,6731546,3227451,300,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,638,638,194.304,6730030,3224389,300,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,636,637,186.969,6730471,3226859,300,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,643,643,187.600,5699887,2729546,300,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,641,641,194.320,5694402,2727716,300,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,640,640,187.194,5699902,2730542,300,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,635,635,188.436,4939291,2362870,300,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,642,642,183.528,4946046,2367283,300,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,638,638,175.960,4942539,2364674,300,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,636,636,190.159,8876860,4266196,1000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,635,635,187.967,8880732,4270027,1000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,640,640,187.513,8877717,4268589,1000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,644,644,190.034,7616272,3657758,1000,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,643,644,188.550,7617094,3659777,1000,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,642,642,176.675,7615341,3657636,1000,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,645,645,188.394,6672438,3203827,1000,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,640,640,192.327,6671787,3202523,1000,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,644,644,182.092,6669337,3202620,1000,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,635,635,191.577,10570672,5089677,3000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,642,642,189.083,10569974,5089788,3000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,633,633,187.062,10571257,5088466,3000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,638,638,197.581,9161077,4409638,3000,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,641,641,193.407,9162599,4411289,3000,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,647,647,198.507,9161964,4410292,3000,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,1000000,1,nn,32,8,omp,637,637,201.175,8085273,3889371,3000,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,2,nn,32,8,omp,642,642,188.786,8086469,3890473,3000,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,1000000,3,nn,32,8,omp,637,637,182.973,8085032,3890371,3000,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,2000000,1,nn,32,8,omp,630,630,351.430,9006173,4288234,100,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,2,nn,32,8,omp,631,631,357.054,9009932,4292596,100,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,3,nn,32,8,omp,636,636,354.643,9005901,4289398,100,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,1,nn,32,8,omp,639,639,349.281,7524838,3579054,100,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,2,nn,32,8,omp,632,632,355.772,7523401,3579673,100,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,3,nn,32,8,omp,642,642,363.693,7525595,3574623,100,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,1,nn,32,8,omp,634,634,357.428,6463638,3066373,100,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,2000000,2,nn,32,8,omp,635,635,351.748,6455248,3065913,100,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,2000000,3,nn,32,8,omp,641,641,352.350,6460597,3065774,100,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,2000000,1,nn,32,8,omp,635,635,361.169,13456271,6449975,300,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,2,nn,32,8,omp,635,636,354.941,13454826,6444330,300,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,3,nn,32,8,omp,636,636,372.040,13456469,6446077,300,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,1,nn,32,8,omp,633,633,367.417,11389972,5452687,300,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,2,nn,32,8,omp,638,638,358.630,11390709,5453896,300,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,3,nn,32,8,omp,638,638,374.151,11391324,5453046,300,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,1,nn,32,8,omp,637,637,344.208,9871760,4720968,300,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,2000000,2,nn,32,8,omp,637,637,357.936,9877649,4725069,300,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,2000000,3,nn,32,8,omp,637,637,360.320,9878219,4725228,300,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,2000000,1,nn,32,8,omp,635,636,369.678,17752134,8532222,1000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,2,nn,32,8,omp,631,631,380.096,17749806,8535299,1000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,3,nn,32,8,omp,637,637,372.407,17748175,8531030,1000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,1,nn,32,8,omp,633,633,358.069,15227993,7313881,1000,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,2,nn,32,8,omp,634,634,379.310,15221766,7313914,1000,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,3,nn,32,8,omp,638,640,367.743,15225539,7316788,1000,0.0001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,1,nn,32,8,omp,634,634,372.081,13337569,6401545,1000,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,2000000,2,nn,32,8,omp,633,633,351.442,13334221,6403278,1000,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,2000000,3,nn,32,8,omp,637,637,364.310,13329801,6400724,1000,1e-05,,,,,sa-grid,0
sa-omp,eil101,101,2000000,1,nn,32,8,omp,637,637,370.148,21127001,10173545,3000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,2,nn,32,8,omp,636,636,370.160,21130052,10175446,3000,0.001,,,,,sa-grid,0
sa-omp,eil101,101,2000000,3,nn,32,8,omp,633,633,388.608,21129506,10171831,3000,0.001,,,,,sa-grid,0
