algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,t0,tf,alpha,gamma,epsilon,policy,tuning_stage,fallback
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1214,1214,170.059,2354688,1144168,100,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1221,1221,166.762,2355419,1143349,100,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1227,1228,177.186,2353606,1143247,100,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1219,1219,180.231,1965766,952584,100,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1218,1218,176.111,1970560,956134,100,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1224,1224,171.956,1965389,953268,100,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1226,1226,171.392,1690138,818237,100,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1217,1217,171.591,1690486,819125,100,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1223,1223,169.981,1689412,818553,100,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1229,1229,182.458,4450906,2172351,300,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1225,1229,172.583,4451731,2173102,300,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1213,1213,179.412,4453317,2173630,300,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1217,1222,174.347,3767804,1837861,300,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1214,1214,178.257,3770565,1838587,300,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1227,1228,181.713,3768206,1836020,300,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1224,1224,172.309,3268076,1592120,300,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1222,1222,185.070,3265243,1590691,300,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1230,1230,177.817,3265594,1592102,300,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1236,1236,189.850,6696769,3273132,1000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1224,1224,189.904,6696626,3275700,1000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1215,1215,185.208,6696049,3273503,1000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1224,1224,176.751,5742704,2807198,1000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1226,1226,178.307,5744822,2807737,1000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1234,1234,177.661,5740271,2807141,1000,0.0001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1224,1224,193.721,5028654,2456375,1000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1223,1223,185.862,5026605,2456081,1000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1222,1223,177.889,5027874,2456120,1000,1e-05,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1212,1212,189.526,8520376,4165836,3000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,2,nn,32,8,omp,1224,1224,184.549,8519282,4168822,3000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,3,nn,32,8,omp,1212,1212,199.461,8523057,4170822,3000,0.001,,,,,sa-grid,0
sa-omp,rat99,99,1000000,1,nn,32,8,omp,1227,1227,188.425,7383508,3612316,3000,0.0001,,,,,sa-grid,0
