algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,status,log_file,error
qlsa-omp,dsj1000,1000,1000000,2,nn,64,8,omp,20607936,20607936,1173.108,45820,21996,L3,ok,results\logs\large_openmp\dsj1000_qlsa_20260622_202949_186699.log,
qlsa-omp,dsj1000,1000,1000000,3,nn,64,8,omp,20404246,20404246,836.247,45731,21916,L3,ok,results\logs\large_openmp\dsj1000_qlsa_20260622_202949_186699.log,
,si1032,,1000000,,,64,8,omp,,,,,,L3,missing,,missing data\si1032.tsp
sa-omp,u1060,1060,1000000,1,nn,64,8,omp,287555,287555,479.444,377301,227879,L3,ok,results\logs\large_openmp\u1060_sa_20260622_202952_337687.log,
sa-omp,u1060,1060,1000000,2,nn,64,8,omp,287833,287833,512.795,376531,227384,L3,ok,results\logs\large_openmp\u1060_sa_20260622_202952_337687.log,
sa-omp,u1060,1060,1000000,3,nn,64,8,omp,286004,286004,500.981,376469,227427,L3,ok,results\logs\large_openmp\u1060_sa_20260622_202952_337687.log,
qlsa-omp,u1060,1060,1000000,1,nn,64,8,omp,269011,269011,1113.802,522661,292647,L3,ok,results\logs\large_openmp\u1060_qlsa_20260622_202953_853374.log,
qlsa-omp,u1060,1060,1000000,2,nn,64,8,omp,267347,267347,863.188,521373,292992,L3,ok,results\logs\large_openmp\u1060_qlsa_20260622_202953_853374.log,
qlsa-omp,u1060,1060,1000000,3,nn,64,8,omp,267647,267647,846.693,521079,293680,L3,ok,results\logs\large_openmp\u1060_qlsa_20260622_202953_853374.log,
sa-omp,vm1084,1084,1000000,1,nn,64,8,omp,301120,319811,508.741,271194,154327,L3,ok,results\logs\large_openmp\vm1084_sa_20260622_202956_716573.log,
sa-omp,vm1084,1084,1000000,2,nn,64,8,omp,299804,317206,489.814,269018,153325,L3,ok,results\logs\large_openmp\vm1084_sa_20260622_202956_716573.log,
sa-omp,vm1084,1084,1000000,3,nn,64,8,omp,301095,313415,470.502,270335,153719,L3,ok,results\logs\large_openmp\vm1084_sa_20260622_202956_716573.log,
qlsa-omp,vm1084,1084,1000000,1,nn,64,8,omp,284267,284267,987.322,409168,214336,L3,ok,results\logs\large_openmp\vm1084_qlsa_20260622_202958_207580.log,
qlsa-omp,vm1084,1084,1000000,2,nn,64,8,omp,287204,287204,818.649,411981,214403,L3,ok,results\logs\large_openmp\vm1084_qlsa_20260622_202958_207580.log,
qlsa-omp,vm1084,1084,1000000,3,nn,64,8,omp,283661,283661,831.560,406806,212326,L3,ok,results\logs\large_openmp\vm1084_qlsa_20260622_202958_207580.log,
