algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,config_name,family,variant,t0,tf,alpha,gamma,epsilon,policy,fallback
sa-omp,rat99,99,1000000,402,nn,64,8,omp,1221,1221,409.843,17043361,8339247,rat99-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,403,nn,64,8,omp,1216,1216,409.007,17036746,8335871,rat99-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,404,nn,64,8,omp,1219,1219,400.315,17040446,8335010,rat99-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,405,nn,64,8,omp,1218,1218,400.427,17040121,8338067,rat99-sa-tuned-high-budget-it1000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,401,nn,128,8,omp,1222,1222,857.003,34088422,16675761,rat99-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,402,nn,128,8,omp,1216,1216,861.546,34086078,16677408,rat99-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,403,nn,128,8,omp,1216,1216,863.812,34076291,16671802,rat99-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,404,nn,128,8,omp,1219,1219,835.390,34082927,16674214,rat99-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,1000000,405,nn,128,8,omp,1216,1216,770.772,34081279,16675213,rat99-sa-tuned-high-budget-it1000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,401,nn,64,8,omp,1218,1218,780.151,34058247,16660623,rat99-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,402,nn,64,8,omp,1216,1216,778.390,34059266,16660513,rat99-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,403,nn,64,8,omp,1215,1215,790.314,34057188,16658741,rat99-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,404,nn,64,8,omp,1213,1213,825.840,34060619,16664073,rat99-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,405,nn,64,8,omp,1216,1216,801.021,34055959,16658597,rat99-sa-tuned-high-budget-it2000000-c64,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,401,nn,128,8,omp,1218,1218,1579.489,68118879,33324159,rat99-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,402,nn,128,8,omp,1213,1213,1561.588,68119567,33320875,rat99-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,403,nn,128,8,omp,1214,1214,1581.283,68113805,33316978,rat99-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,404,nn,128,8,omp,1213,1213,1601.540,68116292,33322935,rat99-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
sa-omp,rat99,99,2000000,405,nn,128,8,omp,1212,1212,1536.240,68117526,33318383,rat99-sa-tuned-high-budget-it2000000-c128,sa,tuned-high-budget,3000,0.001,,,,,0
